date,name,unit,OT
2022-06-18 21:25:00,YC0052,m5Max,644
2022-06-18 21:40:00,YC0052,m5Max,700
2022-06-18 21:55:00,YC0052,m5Max,616
2022-06-18 22:10:00,YC0052,m5Max,588
2022-06-18 22:25:00,YC0052,m5Max,504
2022-06-18 22:40:00,YC0052,m5Max,560
2022-06-18 22:55:00,YC0052,m5Max,700
2022-06-18 23:10:00,YC0052,m5Max,644
2022-06-18 23:25:00,YC0052,m5Max,560
2022-06-18 23:40:00,YC0052,m5Max,588
2022-06-18 23:55:00,YC0052,m5Max,644
2022-06-19 00:10:00,YC0052,m5Max,616
2022-06-19 00:25:00,YC0052,m5Max,616
2022-06-19 00:40:00,YC0052,m5Max,756
2022-06-19 00:55:00,YC0052,m5Max,728
2022-06-19 01:10:00,YC0052,m5Max,812
2022-06-19 01:25:00,YC0052,m5Max,896
2022-06-19 01:40:00,YC0052,m5Max,1092
2022-06-19 01:55:00,YC0052,m5Max,980
2022-06-19 02:10:00,YC0052,m5Max,952
2022-06-19 02:25:00,YC0052,m5Max,924
2022-06-19 02:40:00,YC0052,m5Max,924
2022-06-19 02:55:00,YC0052,m5Max,896
2022-06-19 03:10:00,YC0052,m5Max,644
2022-06-19 03:25:00,YC0052,m5Max,644
2022-06-19 03:40:00,YC0052,m5Max,532
2022-06-19 03:55:00,YC0052,m5Max,392
2022-06-19 04:10:00,YC0052,m5Max,644
2022-06-19 04:25:00,YC0052,m5Max,840
2022-06-19 04:40:00,YC0052,m5Max,924
2022-06-19 04:55:00,YC0052,m5Max,924
2022-06-19 05:10:00,YC0052,m5Max,1204
2022-06-19 05:25:00,YC0052,m5Max,1316
2022-06-19 05:40:00,YC0052,m5Max,1176
2022-06-19 05:55:00,YC0052,m5Max,1148
2022-06-19 06:10:00,YC0052,m5Max,1092
2022-06-19 06:25:00,YC0052,m5Max,1092
2022-06-19 06:40:00,YC0052,m5Max,1092
2022-06-19 06:55:00,YC0052,m5Max,1148
2022-06-19 07:10:00,YC0052,m5Max,1092
2022-06-19 07:25:00,YC0052,m5Max,1092
2022-06-19 07:40:00,YC0052,m5Max,1120
2022-06-19 07:55:00,YC0052,m5Max,1092
2022-06-19 08:10:00,YC0052,m5Max,1092
2022-06-19 08:25:00,YC0052,m5Max,1148
2022-06-19 08:40:00,YC0052,m5Max,1120
2022-06-19 08:55:00,YC0052,m5Max,1064
2022-06-19 09:10:00,YC0052,m5Max,1036
2022-06-19 09:25:00,YC0052,m5Max,896
2022-06-19 09:40:00,YC0052,m5Max,588
2022-06-19 09:55:00,YC0052,m5Max,700
2022-06-19 10:10:00,YC0052,m5Max,476
2022-06-19 10:25:00,YC0052,m5Max,504
2022-06-19 10:40:00,YC0052,m5Max,784
2022-06-19 10:55:00,YC0052,m5Max,672
2022-06-19 11:10:00,YC0052,m5Max,644
2022-06-19 11:25:00,YC0052,m5Max,588
2022-06-19 11:40:00,YC0052,m5Max,616
2022-06-19 11:55:00,YC0052,m5Max,448
2022-06-19 12:10:00,YC0052,m5Max,392
2022-06-19 12:25:00,YC0052,m5Max,364
2022-06-19 12:40:00,YC0052,m5Max,420
2022-06-19 12:55:00,YC0052,m5Max,448
2022-06-19 13:10:00,YC0052,m5Max,476
2022-06-19 13:25:00,YC0052,m5Max,476
2022-06-19 13:40:00,YC0052,m5Max,448
2022-06-19 13:55:00,YC0052,m5Max,448
